slug_game,discipline,event,medal_type,athlete_name,country,address,latitude,longitude,pic,gameyear
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Tiril ECKHOFF,Norway,Oslo,59.9133301,10.7389701,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Tiril_Eckhoff_001.jpg/220px-Tiril_Eckhoff_001.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Marte Olsbu ROEISELAND,Norway,Oslo,59.9133301,10.7389701,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Marte_Olsbu_R%C3%B8iseland.jpg/220px-Marte_Olsbu_R%C3%B8iseland.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Tarjei BOE,Norway,Oslo,59.9133301,10.7389701,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tarjei_B%C3%B8_biathlete_%28cropped%29.jpg/220px-Tarjei_B%C3%B8_biathlete_%28cropped%29.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),GOLD,Johannes Thingnes BOE,Norway,Oslo,59.9133301,10.7389701,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/2018-01-06_IBU_Biathlon_World_Cup_Oberhof_2018_-_Pursuit_Men_137.jpg/220px-2018-01-06_IBU_Biathlon_World_Cup_Oberhof_2018_-_Pursuit_Men_137.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Anais CHEVALIER-BOUCHET,France,Paris,48.8588897,2.320041022,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ana%C3%AFs_Chevalier_octobre_2017.jpg/1024px-Ana%C3%AFs_Chevalier_octobre_2017.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Quentin FILLON MAILLET,France,Paris,48.8588897,2.320041022,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Quentin_Fillon_Maillet_2017.jpg/220px-Quentin_Fillon_Maillet_2017.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Emilien JACQUELIN,France,Paris,48.8588897,2.320041022,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2020-01-10_IBU_World_Cup_Biathlon_Oberhof_IMG_2906_by_Stepro_%C3%89milien_Jacquelin_%28cropped%29.jpg/220px-2020-01-10_IBU_World_Cup_Biathlon_Oberhof_IMG_2906_by_Stepro_%C3%89milien_Jacquelin_%28cropped%29.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),SILVER,Julia SIMON,France,Paris,48.8588897,2.320041022,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/2020-01-09_IBU_World_Cup_Biathlon_Oberhof_IMG_2857_by_Stepro_Julia_Simon_%28cropped%29.jpg/405px-2020-01-09_IBU_World_Cup_Biathlon_Oberhof_IMG_2857_by_Stepro_Julia_Simon_%28cropped%29.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Uliana NIGMATULLINA,ROC,Moscow,55.7504461,37.6174943,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Uliana_Kaisheva.jpg/220px-Uliana_Kaisheva.jpg,2022
2022-beijing,Biathlon,Mixed Relay 4x6km (W+M),BRONZE,Kristina REZTSOVA,ROC,Moscow,55.7504461,37.6174943, ,2022
